  id type    coord       corners
   1 Polygon "world_deg" "278.3563 -5.009386 278.3523 -4.999669 278.3641 -4.993008 278.3688 -4.996897 278.3841 -4.996619 278.3919 -5.008007 278.3992 -5.010785 278.4003 -5.016335 278.3956 -5.031879 278.3897 -5.030213 278.3696 -5.03688 278.3493 -5.037992 278.344 -5.031336 278.3523 -5.028842 278.3546 -5.022725"
   2 Polygon "world_deg" "278.3342 -4.963286 278.3395 -4.961064 278.3462 -4.961064 278.3521 -4.962725 278.3518 -4.969939 278.3442 -4.972436 278.3412 -4.976047 278.3292 -4.971324 278.3292 -4.968286"
   3 Polygon "world_deg" "278.3236 -4.953557 278.3273 -4.951341 278.3306 -4.946338 278.3342 -4.943841 278.3387 -4.946897 278.3462 -4.94273 278.3546 -4.943564 278.3562 -4.945225 278.3562 -4.956053 278.3532 -4.961325 278.3395 -4.961047 278.3342 -4.963269 278.3284 -4.970772 278.327 -4.969385 278.3261 -4.961052"
   4 Polygon "world_deg" "278.3392 -4.976619 278.3487 -4.97023 278.3523 -4.970786 278.3599 -4.976619 278.3613 -4.979389 278.3604 -4.986892 278.3638 -4.992722 278.3615 -4.995492 278.3529 -4.999381 278.347 -4.99688 278.3403 -4.99688 278.3337 -5.000213 278.3284 -4.993824 278.3284 -4.992452 278.3348 -4.986341"
   5 Polygon "world_deg" "278.2645 -4.917166 278.2701 -4.914392 278.2793 -4.915226 278.2835 -4.912727 278.2888 -4.917449 278.2893 -4.924388 278.2907 -4.926333 278.2743 -4.938542 278.2726 -4.93522 278.2743 -4.931884 278.2704 -4.930767 278.2695 -4.92743 278.2659 -4.922713"
   6 Polygon "world_deg" "278.3147 -4.975504 278.3211 -4.97523 278.3275 -4.970508 278.3392 -4.976336 278.3348 -4.986325 278.3278 -4.992713 278.3206 -4.984102 278.315 -4.982157"
   7 Polygon "world_deg" "278.3696 -5.105225 278.3747 -5.103564 278.3839 -5.104397 278.3858 -5.103008 278.3878 -5.098008 278.3903 -5.101335 278.3889 -5.104385 278.3894 -5.108841 278.3961 -5.112168 278.3922 -5.117718 278.3908 -5.131324 278.3813 -5.130213 278.3786 -5.132436 278.3733 -5.124936 278.3688 -5.121052"
   8 Polygon "world_deg" "278.3309 -4.858286 278.3362 -4.85773 278.3437 -4.860231 278.3537 -4.858564 278.3554 -4.860225 278.3548 -4.862159 278.3518 -4.864103 278.3507 -4.869658 278.3409 -4.876603 278.3292 -4.867158"
   9 Polygon "world_deg" "278.3604 -4.986886 278.3604 -4.981058 278.3671 -4.97773 278.3738 -4.981064 278.3785 -4.977175 278.3838 -4.986058 278.3827 -4.995775 278.378 -4.997714 278.3677 -4.996325 278.3627 -4.991325"
  10 Polygon "world_deg" "278.3139 -4.958004 278.3211 -4.953563 278.3233 -4.953838 278.3236 -4.956891 278.3261 -4.961058 278.327 -4.970219 278.3211 -4.975213 278.3147 -4.974938 278.3119 -4.963557"
  11 Polygon "world_deg" "278.3195 -4.869388 278.3211 -4.86773 278.3298 -4.867452 278.3398 -4.875786 278.3417 -4.882175 278.3504 -4.886058 278.3496 -4.891047 278.347 -4.889381 278.3378 -4.887714 278.3334 -4.889658 278.3323 -4.884936 278.32 -4.878824"
  12 Polygon "world_deg" "278.3964 -5.022724 278.3995 -5.017451 278.4039 -5.017729 278.4098 -5.015228 278.4195 -5.016333 278.4117 -5.027156 278.4056 -5.031879 278.3964 -5.029385"
  13 Polygon "world_deg" "278.4045 -5.032451 278.4117 -5.027173 278.4195 -5.017169 278.4198 -5.021055 278.422 -5.024672 278.4285 -5.027449 278.4321 -5.032171 278.4393 -5.035781 278.4399 -5.041053 278.4432 -5.047719 278.4402 -5.054931 278.4223 -5.041877 278.4115 -5.041878 278.4053 -5.039657 278.4039 -5.036884"
  14 Polygon "world_deg" "278.3429 -5.010225 278.3521 -5.002731 278.3562 -5.009392 278.3546 -5.022719 278.3521 -5.026056 278.3529 -5.027722 278.3487 -5.030214 278.3462 -5.028555 278.3487 -5.025225 278.3487 -5.022719 278.3445 -5.018553"
  15 Polygon "world_deg" "278.3565 -4.883008 278.3585 -4.879953 278.3629 -4.877731 278.3671 -4.876897 278.3691 -4.878286 278.3696 -4.879389 278.3671 -4.88272 278.3671 -4.886892 278.3696 -4.890225 278.3696 -4.896053 278.3629 -4.900214 278.3562 -4.899381 278.351 -4.894658 278.3498 -4.891608 278.3504 -4.886058"
  16 Polygon "world_deg" "278.2838 -4.912438 278.2863 -4.906335 278.2921 -4.904672 278.2946 -4.901336 278.3002 -4.899395 278.3063 -4.902451 278.3111 -4.909387 278.3027 -4.916878 278.2882 -4.917155"
  17 Polygon "world_deg" "278.3395 -5.111047 278.3356 -5.117438 278.3353 -5.112724 278.337 -5.109386 278.3353 -5.102722 278.3412 -5.103564 278.3462 -5.10273 278.3493 -5.105508 278.3554 -5.10773 278.3638 -5.10523 278.3696 -5.106058 278.3688 -5.121052 278.3638 -5.12438 278.3585 -5.122158 278.354 -5.116603"
  18 Polygon "world_deg" "278.1633 -4.936311 278.1658 -4.935481 278.1734 -4.927147 278.1839 -4.925208 278.1862 -4.925484 278.1881 -4.930204 278.1881 -4.93437 278.1931 -4.940205 278.1917 -4.944638 278.1864 -4.950192 278.1764 -4.943523 278.1636 -4.94213"
  19 Polygon "world_deg" "278.3342 -4.999952 278.3404 -4.996897 278.347 -4.996897 278.3529 -5.001056 278.3456 -5.008825 278.3426 -5.009936 278.3306 -5.004108 278.3334 -5.00245"
  20 Polygon "world_deg" "278.2414 -4.929648 278.2408 -4.926048 278.2431 -4.923276 278.2525 -4.922722 278.2634 -4.917724 278.2701 -4.928553 278.2698 -4.930767 278.2592 -4.939373 278.252 -4.939097"
  21 Polygon "world_deg" "278.3724 -4.899103 278.3696 -4.896886 278.3696 -4.890225 278.3721 -4.886056 278.3719 -4.879953 278.3763 -4.878564 278.3802 -4.881339 278.381 -4.884675 278.3875 -4.889952 278.3905 -4.898555 278.3883 -4.903824 278.383 -4.910213 278.3797 -4.910214 278.3744 -4.906325"
  22 Polygon "world_deg" "278.3521 -4.970219 278.3526 -4.961619 278.356 -4.956619 278.3599 -4.956619 278.3671 -4.971892 278.3671 -4.976886 278.3646 -4.979381 278.361 -4.978825 278.3565 -4.973269"
  23 Polygon "world_deg" "278.247 -4.947166 278.2525 -4.939389 278.2592 -4.93939 278.2676 -4.944386 278.2676 -4.948547 278.2653 -4.951324 278.2667 -4.954385 278.2659 -4.956874 278.2609 -4.956874 278.2567 -4.954373 278.2475 -4.952705 278.2425 -4.954371 278.2394 -4.949659"
  24 Polygon "world_deg" "278.5071 -5.095752 278.5032 -5.094642 278.5027 -5.089375 278.506 -5.08688 278.5119 -5.086879 278.5163 -5.0891 278.5238 -5.096598 278.5244 -5.10437 278.5283 -5.10798 278.5244 -5.110192 278.5174 -5.108805 278.5099 -5.10214"
  25 Polygon "world_deg" "278.3852 -4.863286 278.3964 -4.86023 278.3989 -4.863557 278.3967 -4.868824 278.3872 -4.87438 278.3836 -4.873825 278.3805 -4.869386"
  26 Polygon "world_deg" "278.2168 -4.935491 278.2216 -4.935217 278.2274 -4.932718 278.2391 -4.94022 278.2483 -4.939388 278.2508 -4.941047 278.2469 -4.947149 278.2425 -4.949371 278.2369 -4.949925 278.2341 -4.947702 278.2283 -4.946035 278.2182 -4.948533 278.2166 -4.946874"
  27 Polygon "world_deg" "278.2919 -4.891889 278.2988 -4.884673 278.3008 -4.879951 278.3019 -4.879395 278.3063 -4.881618 278.3069 -4.886884 278.3016 -4.899103 278.2952 -4.901044 278.291 -4.896883"
  28 Polygon "world_deg" "278.3911 -5.063285 278.3983 -5.064951 278.3986 -5.07134 278.4045 -5.073837 278.4048 -5.077718 278.3983 -5.08299 278.3914 -5.085213 278.3869 -5.084658 278.3847 -5.079385"
  29 Polygon "world_deg" "278.4023 -5.001051 278.4037 -4.995784 278.4073 -4.993562 278.414 -4.995228 278.4156 -4.996889 278.4156 -5.007722 278.4198 -5.014389 278.419 -5.016044 278.4098 -5.015212 278.4045 -5.009657"
  30 Polygon "world_deg" "278.3052 -4.86939 278.3153 -4.858563 278.3175 -4.858838 278.3194 -4.862724 278.3203 -4.876052 278.3186 -4.877713 278.3102 -4.876879 278.3052 -4.881045 278.3027 -4.879387 278.3061 -4.87689"
  31 Polygon "world_deg" "278.4352 -5.076598 278.4265 -5.077716 278.4315 -5.072718 278.4296 -5.066615 278.4363 -5.066612 278.4355 -5.061615 278.4575 -5.050223 278.4636 -5.053277 278.4675 -5.066877 278.4566 -5.062706 278.4524 -5.067718 278.4681 -5.08216 278.4491 -5.074374 278.4491 -5.083546 278.4441 -5.087708"
  32 Polygon "world_deg" "278.3217 -4.880785 278.3323 -4.884952 278.3337 -4.890222 278.3272 -4.898824 278.3208 -4.899935 278.3155 -4.895502 278.3161 -4.891057"
  33 Polygon "world_deg" "278.4862 -5.142992 278.4893 -5.141883 278.4909 -5.146877 278.4909 -5.151872 278.4896 -5.154644 278.4817 -5.156035 278.4781 -5.154647 278.4779 -5.152161"
  34 Polygon "world_deg" "278.4053 -5.072451 278.409 -5.070228 278.4184 -5.07495 278.4207 -5.079386 278.4173 -5.081878 278.4131 -5.082711 278.4098 -5.080212 278.4062 -5.079656 278.4048 -5.077718"
  35 Polygon "world_deg" "278.39 -5.054671 278.3947 -5.051063 278.4 -5.053285 278.4039 -5.05689 278.4031 -5.063551 278.3995 -5.065768 278.3919 -5.062991"
  36 Polygon "world_deg" "278.4698 -5.142148 278.4642 -5.12771 278.4647 -5.125777 278.4709 -5.121887 278.4792 -5.123552 278.4837 -5.125774 278.4893 -5.133545 278.4854 -5.144645 278.4784 -5.151869"
  37 Polygon "world_deg" "278.3192 -4.840785 278.3239 -4.840786 278.327 -4.84523 278.3323 -4.844953 278.3328 -4.851053 278.3312 -4.852714 278.3281 -4.848269 278.3242 -4.847436 278.3228 -4.855219 278.3214 -4.857991 278.3183 -4.859102 278.3147 -4.858271 278.3144 -4.856057"
  38 Polygon "world_deg" "278.3786 -5.132452 278.3813 -5.13023 278.3864 -5.13023 278.3903 -5.132171 278.3914 -5.140218 278.3878 -5.143268 278.385 -5.149657 278.3808 -5.151605"
  39 Polygon "world_deg" "278.3061 -4.901887 278.3083 -4.897451 278.3114 -4.89634 278.3125 -4.893285 278.3158 -4.892171 278.3158 -4.89634 278.3189 -4.897452 278.3203 -4.900221 278.3189 -4.904657 278.3119 -4.909379 278.3083 -4.906323"
  40 Polygon "world_deg" "278.2807 -5.012448 278.291 -5.011061 278.2943 -5.014386 278.2929 -5.018822 278.2904 -5.021322 278.2832 -5.023265 278.2779 -5.02882 278.2726 -5.031042 278.2667 -5.030208 278.26 -5.034373 278.2584 -5.032712 278.2589 -5.025779 278.2626 -5.023557 278.2695 -5.022169"
  41 Polygon "world_deg" "278.3445 -4.828559 278.3462 -4.826898 278.349 -4.827453 278.3518 -4.833009 278.359 -4.83912 278.3571 -4.841881 278.3518 -4.841325 278.3468 -4.836325"
