id type coord corners
1 Polygon "world_deg" "278.3563 -5.009386 278.3523 -4.999669 278.3641 -4.993008 278.3688 -4.996897 278.3841 -4.996619 278.3919 -5.008007 278.3992 -5.010785 278.4003 -5.016335 278.3956 -5.031879 278.3897 -5.030213 278.3696 -5.03688 278.3493 -5.037992 278.344 -5.031336 278.3523 -5.028842 278.3546 -5.022725"
2 Polygon "world_deg" "278.3342 -4.963286 278.3395 -4.961064 278.3462 -4.961064 278.3521 -4.962725 278.3518 -4.969939 278.3442 -4.972436 278.3412 -4.976047 278.3292 -4.971324 278.3292 -4.968286"
3 Polygon "world_deg" "278.3236 -4.953557 278.3273 -4.951341 278.3306 -4.946338 278.3342 -4.943841 278.3387 -4.946897 278.3462 -4.94273 278.3546 -4.943564 278.3562 -4.945225 278.3562 -4.956053 278.3532 -4.961325 278.3395 -4.961047 278.3342 -4.963269 278.3284 -4.970772 278.3264 -4.969108 278.327 -4.965219"
4 Polygon "world_deg" "278.3392 -4.976619 278.3487 -4.97023 278.3523 -4.970786 278.3599 -4.976619 278.3613 -4.979389 278.3604 -4.986892 278.3638 -4.992722 278.3615 -4.995492 278.3529 -4.999381 278.347 -4.99688 278.3403 -4.99688 278.3337 -5.000213 278.3284 -4.993824 278.3284 -4.992452 278.3348 -4.986341"
5 Polygon "world_deg" "278.2645 -4.917166 278.2701 -4.914392 278.2793 -4.915226 278.2835 -4.912727 278.2888 -4.917449 278.2893 -4.924388 278.2907 -4.926333 278.281 -4.933543 278.2704 -4.930767 278.2695 -4.92743 278.2673 -4.925486"
6 Polygon "world_deg" "278.3147 -4.975504 278.3211 -4.97523 278.3275 -4.970508 278.3392 -4.976336 278.3348 -4.986325 278.3278 -4.992713 278.3206 -4.984102 278.315 -4.982157"
7 Polygon "world_deg" "278.3696 -5.105225 278.3747 -5.103564 278.3839 -5.104397 278.3858 -5.103008 278.3878 -5.098008 278.3903 -5.101335 278.3889 -5.104385 278.3894 -5.108841 278.3961 -5.112168 278.3922 -5.117718 278.3908 -5.131324 278.3813 -5.130213 278.3786 -5.132436 278.3733 -5.124936 278.3688 -5.121052"
8 Polygon "world_deg" "278.3309 -4.858286 278.3362 -4.85773 278.3437 -4.860231 278.3537 -4.858564 278.3554 -4.860225 278.3548 -4.862159 278.3518 -4.864103 278.3507 -4.869658 278.3409 -4.876603 278.3292 -4.867158"
9 Polygon "world_deg" "278.3604 -4.986886 278.3604 -4.981058 278.3671 -4.97773 278.3738 -4.981064 278.3785 -4.977175 278.3838 -4.986058 278.3827 -4.995775 278.378 -4.997714 278.3677 -4.996325 278.3627 -4.991325"
10 Polygon "world_deg" "278.3139 -4.958004 278.3228 -4.953563 278.3261 -4.961058 278.3261 -4.968546 278.3228 -4.96688 278.3136 -4.966879 278.3119 -4.965218"
11 Polygon "world_deg" "278.3195 -4.869388 278.3211 -4.86773 278.3286 -4.866897 278.3364 -4.872453 278.3403 -4.876892 278.3403 -4.880219 278.3367 -4.882436 278.3362 -4.887719 278.3342 -4.889936 278.3323 -4.884936 278.3234 -4.881324 278.3195 -4.877721 278.3203 -4.875221"
12 Polygon "world_deg" "278.3964 -5.022724 278.3995 -5.017451 278.4039 -5.017729 278.4098 -5.015228 278.4195 -5.016333 278.4117 -5.027156 278.4056 -5.031879 278.3964 -5.029385"
13 Polygon "world_deg" "278.4184 -5.033005 278.4212 -5.02745 278.424 -5.025227 278.4285 -5.027449 278.4321 -5.032171 278.4385 -5.034948 278.4399 -5.036886 278.4396 -5.0416 278.4366 -5.043542 278.4324 -5.043543 278.429 -5.046043 278.4223 -5.041877 278.4112 -5.041323 278.4112 -5.039951"
14 Polygon "world_deg" "278.3429 -5.010225 278.3521 -5.002731 278.3562 -5.009392 278.3546 -5.022719 278.3521 -5.026056 278.3529 -5.027722 278.3487 -5.030214 278.3462 -5.028555 278.3487 -5.025225 278.3487 -5.022719 278.3445 -5.018553"
15 Polygon "world_deg" "278.2838 -4.912438 278.2863 -4.906335 278.2921 -4.904672 278.2946 -4.901336 278.3002 -4.899395 278.3063 -4.902451 278.3111 -4.909387 278.3027 -4.916878 278.2882 -4.917155"
16 Polygon "world_deg" "278.3568 -5.107453 278.3638 -5.10523 278.3693 -5.105505 278.3688 -5.121052 278.3638 -5.12438 278.3585 -5.122158 278.354 -5.116336 278.3563 -5.113558"
17 Polygon "world_deg" "278.3507 -4.885506 278.3521 -4.885231 278.3554 -4.887731 278.3663 -4.887731 278.3696 -4.890225 278.3693 -4.896606 278.366 -4.897436 278.3629 -4.900214 278.3562 -4.899381 278.351 -4.894658 278.3498 -4.891608"
18 Polygon "world_deg" "278.1753 -4.926595 278.1862 -4.925484 278.1881 -4.930204 278.1881 -4.93437 278.1931 -4.940205 278.1917 -4.944638 278.1864 -4.950192 278.1756 -4.942695"
19 Polygon "world_deg" "278.4117 -5.027173 278.4195 -5.017169 278.4198 -5.021055 278.4229 -5.025772 278.4184 -5.032989 278.4098 -5.041045 278.4053 -5.039657 278.4039 -5.033557"
20 Polygon "world_deg" "278.1633 -4.936311 278.1658 -4.935481 278.1739 -4.926872 278.1756 -4.931034 278.1747 -4.942689 278.1647 -4.942686 278.163 -4.941024"
21 Polygon "world_deg" "278.3342 -4.999952 278.3404 -4.996897 278.347 -4.996897 278.3529 -5.001056 278.3456 -5.008825 278.3426 -5.009936 278.3306 -5.004108 278.3334 -5.00245"
22 Polygon "world_deg" "278.2414 -4.929648 278.2408 -4.926048 278.2431 -4.923276 278.2525 -4.922722 278.2634 -4.917724 278.2701 -4.928553 278.2698 -4.930767 278.2592 -4.939373 278.252 -4.939097"
23 Polygon "world_deg" "278.3724 -4.899103 278.3696 -4.896886 278.3696 -4.890225 278.3721 -4.886897 278.3805 -4.884397 278.3875 -4.889952 278.3905 -4.898555 278.3883 -4.903824 278.383 -4.910213 278.3797 -4.910214 278.3744 -4.906325"
24 Polygon "world_deg" "278.3521 -4.962725 278.356 -4.956619 278.3599 -4.956619 278.3638 -4.966886 278.3621 -4.968547 278.3585 -4.969103 278.3546 -4.972714 278.3521 -4.970219"
25 Polygon "world_deg" "278.247 -4.947166 278.2525 -4.939389 278.2592 -4.93939 278.2676 -4.944386 278.2676 -4.948547 278.2653 -4.951324 278.2667 -4.954385 278.2659 -4.956874 278.2609 -4.956874 278.2567 -4.954373 278.2475 -4.952705 278.2425 -4.954371 278.2394 -4.949659"
26 Polygon "world_deg" "278.5071 -5.095752 278.5032 -5.094642 278.5027 -5.089375 278.506 -5.08688 278.5119 -5.086879 278.5163 -5.0891 278.5238 -5.096598 278.5244 -5.10437 278.5283 -5.10798 278.5244 -5.110192 278.5174 -5.108805 278.5099 -5.10214"
27 Polygon "world_deg" "278.3852 -4.863286 278.3964 -4.86023 278.3989 -4.863557 278.3967 -4.868824 278.3872 -4.87438 278.3836 -4.873825 278.3805 -4.869386"
28 Polygon "world_deg" "278.2174 -4.935216 278.2216 -4.935217 278.2274 -4.932718 278.2369 -4.938275 278.2391 -4.941045 278.2358 -4.947703 278.2274 -4.946035 278.2182 -4.948533 278.2166 -4.946874"
29 Polygon "world_deg" "278.2919 -4.891889 278.2988 -4.884673 278.3008 -4.879951 278.3019 -4.879395 278.3063 -4.881618 278.3069 -4.886884 278.3016 -4.899103 278.2952 -4.901044 278.291 -4.896883"
30 Polygon "world_deg" "278.388 -5.069391 278.3917 -5.063007 278.3983 -5.064951 278.3989 -5.066885 278.3986 -5.071607 278.3936 -5.077435 278.393 -5.081885 278.3905 -5.085213 278.3869 -5.084658 278.3847 -5.079385"
31 Polygon "world_deg" "278.4023 -5.001051 278.4037 -4.995784 278.4073 -4.993562 278.414 -4.995228 278.4156 -4.996889 278.4156 -5.007722 278.4198 -5.014389 278.419 -5.016044 278.4098 -5.015212 278.4045 -5.009657"
32 Polygon "world_deg" "278.3052 -4.86939 278.3083 -4.865785 278.3111 -4.864396 278.3136 -4.866063 278.3186 -4.866063 278.3203 -4.867721 278.3197 -4.877157 278.3102 -4.876879 278.3044 -4.881045 278.3027 -4.879387 278.3061 -4.87689"
33 Polygon "world_deg" "278.4385 -5.079931 278.4352 -5.076598 278.4318 -5.075768 278.429 -5.067721 278.4307 -5.06606 278.4366 -5.066892 278.4469 -5.074113 278.4491 -5.079385 278.4491 -5.083546 278.4449 -5.087708 278.4405 -5.08632"
34 Polygon "world_deg" "278.3222 -4.880508 278.3323 -4.884952 278.3337 -4.890222 278.3292 -4.895769 278.3228 -4.891046 278.3164 -4.892438 278.3161 -4.891057"
35 Polygon "world_deg" "278.4862 -5.142992 278.4893 -5.141883 278.4909 -5.146877 278.4909 -5.151872 278.4896 -5.154644 278.4817 -5.156035 278.4781 -5.154647 278.4779 -5.152161"
36 Polygon "world_deg" "278.3978 -5.072451 278.3997 -5.071896 278.4048 -5.07439 278.4045 -5.07827 278.3983 -5.08299 278.3931 -5.08438 278.3931 -5.078557"
37 Polygon "world_deg" "278.39 -5.054671 278.3947 -5.051063 278.4 -5.053285 278.4039 -5.05689 278.4031 -5.063551 278.3995 -5.065768 278.3919 -5.062991"
38 Polygon "world_deg" "278.4698 -5.142148 278.467 -5.134663 278.4706 -5.133831 278.4776 -5.136052 278.4851 -5.129384 278.4893 -5.133545 278.4854 -5.144645 278.4784 -5.151869"
39 Polygon "world_deg" "278.3786 -5.132452 278.3813 -5.13023 278.3864 -5.13023 278.3903 -5.132171 278.3914 -5.140218 278.3878 -5.143268 278.385 -5.149657 278.3808 -5.151605"
40 Polygon "world_deg" "278.3061 -4.901887 278.3083 -4.897451 278.3114 -4.89634 278.3125 -4.893285 278.3158 -4.892171 278.3158 -4.89634 278.3189 -4.897452 278.3203 -4.900221 278.3189 -4.904657 278.3119 -4.909379 278.3083 -4.906323"
41 Polygon "world_deg" "278.2838 -5.012168 278.291 -5.011061 278.2943 -5.014386 278.2929 -5.018822 278.2868 -5.02271 278.2835 -5.020215"
42 Polygon "world_deg" "278.3445 -4.828559 278.3462 -4.826898 278.349 -4.827453 278.3518 -4.833009 278.359 -4.83912 278.3571 -4.841881 278.3518 -4.841325 278.3468 -4.836325"
43 Polygon "world_deg" "278.4751 -5.12272 278.4837 -5.125774 278.4851 -5.128543 278.4776 -5.136036 278.4712 -5.134095"
44 Polygon "world_deg" "278.3819 -5.172163 278.3791 -5.170771 278.3788 -5.166891 278.3827 -5.159952 278.3866 -5.161618 278.3869 -5.16634 278.3958 -5.166618 278.3981 -5.171056 278.3972 -5.175223 278.4031 -5.183556 278.4025 -5.186323 278.3984 -5.18827 278.3925 -5.179101 278.383 -5.178546 278.3814 -5.176885"
45 Polygon "world_deg" "278.3019 -5.006062 278.3061 -5.006895 278.3136 -5.004396 278.3166 -5.011335 278.3144 -5.013546 278.3002 -5.015211 278.2943 -5.018544 278.2935 -5.016055 278.2957 -5.00995"
46 Polygon "world_deg" "278.2762 -5.01717 278.2807 -5.012448 278.2832 -5.012168 278.2837 -5.022988 278.2779 -5.02882 278.2726 -5.031042 278.2679 -5.029933 278.2662 -5.02383"
47 Polygon "world_deg" "278.388 -4.977724 278.3897 -4.976063 278.3986 -4.978004 278.3997 -4.986885 278.3972 -4.989379 278.3919 -4.987991"
